time,x,y,speed
1728237003.704544,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237003.7544672,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237003.8043637,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237003.8543947,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237003.904426,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237003.9543948,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237004.0043712,2.8610228852699038e-08,-2.8421708795129297e-16,0.0
1728237004.0544379,-0.00013650894106831402,0.00011165278556291014,0.020373793318867683
1728237004.1044421,0.0005970954662188888,0.0029838578775525093,0.015358462929725647
1728237004.1543965,0.0019260692643001676,0.005052483174949884,0.004044787026941776
1728237004.2044156,0.0019020652398467064,0.005502633284777403,-0.00030456320382654667
1728237004.2544186,0.0016022013733163476,0.005186106078326702,-0.000900320999789983
1728237004.3044217,0.001391077064909041,0.004603247158229351,0.0005701720365323126
1728237004.354426,0.0013013934949412942,0.0038734793197363615,0.0010779242729768157
1728237004.4044294,0.001264924998395145,0.003228249493986368,0.0011766067473217845
1728237004.4544282,0.0012417506659403443,0.0027273844461888075,0.0010127228451892734
1728237004.5044098,0.0012114810524508357,0.0023883567191660404,0.0007104287506081164
1728237004.5544195,0.0011677551083266735,0.0021939973812550306,0.00037931089173071086
1728237004.6044014,0.0011127375764772296,0.0021028718911111355,0.00010364012996433303
1728237004.6544075,0.0010542869567871094,0.00206483481451869,-5.1068134780507535e-05
1728237004.7044191,0.0010006808442994952,0.002046937821432948,-9.402542491443455e-05
1728237004.754451,0.0009559630998410285,0.00203584018163383,-8.523245196556672e-05
1728237004.8043973,0.0009203242952935398,0.002027065958827734,-6.579384353244677e-05
1728237004.8543885,0.0009043121244758368,0.002020721323788166,-4.077767880517058e-05
1728237004.904416,0.0008837509085424244,0.002012100536376238,-4.0063823689706624e-05
1728237004.9543977,0.0008653926779516041,0.0020028906874358654,-3.1587806006427854e-05
1728237005.0044096,0.0008507347083650529,0.001992942299693823,-2.385935658821836e-05
1728237005.0543869,0.0008395290351472795,0.0019822618924081326,-1.8278939023730345e-05
1728237005.1044095,0.0008309268741868436,0.0019701027777045965,-1.705879003566224e-05
1728237005.1544135,0.0008247470832429826,0.001979002496227622,-8.341947250301018e-06
1728237005.2043777,0.0008201217278838158,0.0019874523859471083,-8.037453881115653e-06
1728237005.2544093,0.0008175086695700884,0.0019916819874197245,-8.952526513894554e-06
1728237005.3044176,0.0008151340298354626,0.0019923897925764322,-1.0162470971408766e-05
1728237005.3544908,0.0008127307519316673,0.001993693644180894,-9.502710781816859e-06
1728237005.4043794,0.0008091163472272456,0.0019962340593338013,-8.188689207599964e-06
1728237005.4543197,0.0008078098180703819,0.0019970352295786142,-7.88146735430928e-06
1728237005.5043628,0.0008067417074926198,0.001997420098632574,-7.658251888642553e-06
1728237005.554388,0.0008058738312684,0.001997374463826418,-7.541946160927182e-06
1728237005.6043797,0.0008051204495131969,0.001996959326788783,-7.546466804342344e-06
1728237005.654456,0.0008051204495131969,0.001996959326788783,-7.626911155966809e-06
1728237005.704483,0.0008041381370276213,0.0019952834118157625,-7.591167104692431e-06
1728237005.7544942,0.0008036040817387402,0.001994156278669834,-7.501617801608518e-06
1728237005.8044987,0.0008031082106754184,0.0019929485861212015,-7.43895225241431e-06
1728237005.8544664,0.0008026599534787238,0.001991695025935769,-7.356554760917788e-06
1728237005.904493,0.0008022307883948088,0.001990392105653882,-7.26975758880144e-06
1728237005.954482,0.0008018302614800632,0.001989093143492937,-7.234082659124397e-06
1728237006.0045223,0.0008014488266780972,0.0019878048915416002,-7.235938937810715e-06
1728237006.054502,0.0008014488266780972,0.0019878048915416002,-7.196037586254533e-06
1728237006.104512,0.000800819369032979,0.001985968090593815,-7.251125225593569e-06
1728237006.154422,0.0008004569681361318,0.0019848111551254988,-7.200701020337874e-06
1728237006.2045107,0.0008000945672392845,0.00198357249610126,-7.22486583981663e-06
1728237006.2544656,0.0007997512584552169,0.001982297981157899,-7.20456682756776e-06
1728237006.30449,0.0007993984036147594,0.0019809820223599672,-7.188393738033483e-06
1728237006.3544652,0.0007990550948306918,0.0019796527922153473,-7.15621763447416e-06
1728237006.4044044,0.0007987117860466242,0.0019783535972237587,-7.199203992058756e-06
1728237006.4543996,0.0007987117860466242,0.0019783535972237587,0.0
1728237006.5044112,0.0007977962377481163,0.0019752925727516413,-7.1483500505564734e-06
1728237006.554366,0.0007974529289640486,0.0019740737043321133,-7.140878551581409e-06
1728237006.6043665,0.0007971095619723201,0.001972807804122567,-7.1673352977086324e-06
1728237006.6543736,0.0007967662531882524,0.0019715067464858294,-7.164080670918338e-06
1728237006.7043824,0.0007964229444041848,0.0019702014978975058,-7.132139671739424e-06
1728237006.7544212,0.0007961082155816257,0.001968901138752699,-7.063041266519576e-06
1728237006.8043857,0.0007957839989103377,0.0019675910007208586,-7.134796305763302e-06
1728237006.8544295,0.0007957839989103377,0.0019675910007208586,-7.149778866732959e-06
1728237006.9044378,0.0007951831794343889,0.0019657572265714407,-7.1480812948720995e-06
1728237006.9544022,0.0007948493584990501,0.0019645742140710354,-7.127224307623692e-06
1728237007.0044715,0.0007945155957713723,0.0019633187912404537,-7.130560334189795e-06
1728237007.0544014,0.0007941818330436945,0.001962042646482587,-7.126722721295664e-06
1728237007.104402,0.000793838466051966,0.00196075439453125,-7.1302620199276134e-06
1728237007.15441,0.004459323827177286,0.0018842812860384583,0.15563833713531494
